Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
19:04:2026,00:15,C,mm,km/h,mm,19,19,19,0.00,0.00,768.6,---,24,25,34,3.2,11.3,NW,NNW,---,---,---,---
19:04:2026,00:30,C,mm,km/h,mm,19,19,19,0.00,0.00,768.6,---,24,25,40,3.2,11.3,NW,NNW,---,---,---,---
19:04:2026,00:45,C,mm,km/h,mm,18,19,18,0.00,0.00,768.6,---,24,25,44,1.6,8.0,N,NNE,---,---,---,---
19:04:2026,01:00,C,mm,km/h,mm,18,18,18,0.00,0.00,768.6,---,24,26,47,3.2,9.7,NNW,NNW,---,---,---,---
19:04:2026,01:15,C,mm,km/h,mm,17,18,17,0.00,0.00,768.5,---,24,26,55,3.2,12.9,N,NNW,---,---,---,---
19:04:2026,01:30,C,mm,km/h,mm,17,17,17,0.00,0.00,768.5,---,24,27,61,3.2,14.5,NW,NW,---,---,---,---
19:04:2026,01:45,C,mm,km/h,mm,16,17,16,0.00,0.00,768.7,---,24,28,64,4.8,14.5,NW,NNW,---,---,---,---
19:04:2026,02:00,C,mm,km/h,mm,16,16,16,0.00,0.00,768.7,---,24,29,66,1.6,9.7,NNW,NNW,---,---,---,---
19:04:2026,02:15,C,mm,km/h,mm,16,16,16,0.00,0.00,768.9,---,24,29,66,1.6,9.7,WNW,NW,---,---,---,---
19:04:2026,02:30,C,mm,km/h,mm,15,16,15,0.00,0.00,769.0,---,24,30,68,0.0,4.8,NW,NNW,---,---,---,---
19:04:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,769.1,---,24,31,69,1.6,6.4,N,NNW,---,---,---,---
19:04:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.1,---,24,31,70,0.0,1.6,N,N,---,---,---,---
19:04:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.2,---,24,32,71,0.0,1.6,N,N,---,---,---,---
19:04:2026,03:30,C,mm,km/h,mm,15,15,15,0.00,0.00,769.2,---,24,32,72,0.0,3.2,NE,NNW,---,---,---,---
19:04:2026,03:45,C,mm,km/h,mm,14,15,14,0.00,0.00,769.3,---,24,32,72,0.0,0.0,---,---,---,---,---,---
19:04:2026,04:00,C,mm,km/h,mm,15,15,14,0.00,0.00,769.4,---,24,33,72,0.0,1.6,NNE,N,---,---,---,---
19:04:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,33,72,0.0,1.6,ENE,ENE,---,---,---,---
19:04:2026,04:30,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,33,71,0.0,3.2,NNW,NNW,---,---,---,---
19:04:2026,04:45,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,33,69,0.0,0.0,---,---,---,---,---,---
19:04:2026,05:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.4,---,24,34,71,0.0,0.0,---,---,---,---,---,---
19:04:2026,05:15,C,mm,km/h,mm,14,15,14,0.00,0.00,769.4,---,24,34,72,0.0,3.2,NNW,NNW,---,---,---,---
19:04:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,24,34,73,0.0,3.2,NNW,NNE,---,---,---,---
19:04:2026,05:45,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,24,34,73,0.0,4.8,NW,NNW,---,---,---,---
19:04:2026,06:00,C,mm,km/h,mm,15,15,14,0.00,0.00,769.7,---,24,35,72,0.0,1.6,NNW,NNW,---,---,---,---
19:04:2026,06:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.8,---,24,35,71,0.0,6.4,N,NNW,---,---,---,---
